,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName
9,2006-03-20,Jeremy Soule,False,Tension,ES4
10,2006-03-20,Jeremy Soule,False,March of the Marauders,ES4
11,2006-03-20,Jeremy Soule,False,Watchman's Ease,ES4
12,2006-03-20,Jeremy Soule,False,Glory of Cyrodiil,ES4
13,2006-03-20,Jeremy Soule,False,Defending the Gate,ES4
14,2006-03-20,Jeremy Soule,False,Bloody Blades,ES4
15,2006-03-20,Jeremy Soule,False,Minstrel's Lament,ES4
16,2006-03-20,Jeremy Soule,False,Ancient Sorrow,ES4
17,2006-03-20,Jeremy Soule,False,Auriel's Ascension,ES4
18,2006-03-20,Jeremy Soule,False,Daedra in Flight,ES4
19,2006-03-20,Jeremy Soule,False,Unmarked Stone,ES4
20,2006-03-20,Jeremy Soule,False,Bloodlust,ES4
21,2006-03-20,Jeremy Soule,False,Sunrise of Flutes,ES4
22,2006-03-20,Jeremy Soule,False,Churl's Revenge,ES4
23,2006-03-20,Jeremy Soule,False,Deep Waters,ES4
24,2006-03-20,Jeremy Soule,False,Dusk at the Market,ES4
25,2020-03-26,Collosia,False,"Peace of Akatosh (From ""The Elder Scrolls IV: Oblivion"")",ES4
0,2018-07-05,Jeremy Soule,False,njól,Norn
1,2018-07-05,Jeremy Soule,False,útanlands,Norn
2,2018-07-05,Jeremy Soule,False,draumr,Norn
3,2018-07-05,Jeremy Soule,False,jata,Norn
4,2018-07-05,Jeremy Soule,False,leikr,Norn
5,2018-07-05,Jeremy Soule,False,bifröst,Norn
6,2018-07-05,Jeremy Soule,False,jafnan,Norn
7,2018-07-05,Jeremy Soule,False,freswick,Norn
8,2018-07-05,Jeremy Soule,False,ek elska þik,Norn
9,2018-07-05,Jeremy Soule,False,himinbjörg,Norn
10,2018-07-05,Jeremy Soule,False,vetr,Norn
11,2018-07-05,Jeremy Soule,False,ginnung,Norn
