,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
75,markettes99,Assassin’s Creed 3 (Original Game Soundtrack),2012-10-30,Lorne Balfe,False,Fight Club,Bandas sonoras,,,,,,,
76,markettes99,Braveheart - Original Motion Picture Soundtrack,1995-01-01,James Horner,False,For The Love Of A Princess,Bandas sonoras,,,,,,,
77,markettes99,Cloud Atlas,2012-11-02,Tom Tykwer,False,Prelude: The Atlas March,Bandas sonoras,,,,,,,
78,markettes99,Run Boy Run,2013-01-01,Woodkid,False,Run Boy Run - Instrumental,Bandas sonoras,,,,,,,
79,markettes99,"War Thunder: Air Forces, Vol.1 (Original Game Soundtrack)",2014-12-01,Gaijin Entertainment,False,"Arise, Great Country!",Bandas sonoras,,,,,,,
80,markettes99,The Blue Notebooks,2014-01-01,Max Richter,False,On The Nature Of Daylight,Bandas sonoras,,,,,,,
81,markettes99,Amélie (Original Soundtrack),2001-04-23,Yann Tiersen,False,"Comptine d'un autre été, l'après-midi",Bandas sonoras,,,,,,,
82,markettes99,Islands - Essential Einaudi (Deluxe Version),2011-01-01,Ludovico Einaudi,False,Divenire,Bandas sonoras,,,,,,,
83,markettes99,The Assassination of Jesse James By the Coward Robert Ford,2008-09-17,Nick Cave,False,Song for Bob,Bandas sonoras,,,,,,,
84,markettes99,First Love (Yiruma Piano Collection),2001-11-27,Yiruma,False,River Flows In You - Original,Bandas sonoras,,,,,,,
85,markettes99,Game Of Thrones (Music From The HBO Series),2011-06-28,Ramin Djawadi,False,Main Title,Bandas sonoras,,,,,,,
86,markettes99,Up! Original Soundtrack,2009-01-01,Michael Giacchino,False,Married Life,Bandas sonoras,,,,,,,
87,markettes99,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),2012-01-01,Howard Shore,False,Over Hill,Bandas sonoras,,,,,,,
88,markettes99,Kung Fu Panda,2008-01-01,Hans Zimmer,False,Oogway Ascends,Bandas sonoras,,,,,,,
89,markettes99,From The Yellow Room,2003-10-23,Yiruma,False,Kiss The Rain - Original,Bandas sonoras,,,,,,,
90,markettes99,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),2012-01-01,Neil Finn,False,Song Of The Lonely Mountain,Bandas sonoras,,,,,,,
91,markettes99,LUCHA POR LA VIDA,2004-09-28,Santana,False,Samba Pa'ti,Bandas sonoras,,,,,,,
92,markettes99,Piano & Chill,2016-07-31,Leslie Jones,False,Fireflies,Bandas sonoras,,,,,,,
93,markettes99,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),2012-01-01,Richard Armitage,False,Misty Mountains,Bandas sonoras,,,,,,,
94,markettes99,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,2009-12-07,James Horner,False,"Becoming one of ""The People"" Becoming one with Neytiri",Bandas sonoras,,,,,,,
95,markettes99,Una Mattina,2004-01-01,Ludovico Einaudi,False,Nuvole Bianche,Bandas sonoras,,,,,,,
96,markettes99,Islands - Essential Einaudi (Deluxe Version),2011-01-01,Ludovico Einaudi,False,Primavera,Bandas sonoras,,,,,,,
97,markettes99,Blood Diamond (Original Motion Picture Soundtrack),2006-12-19,James Newton Howard,False,London,Bandas sonoras,,,,,,,
98,markettes99,Forrest Gump - Original Motion Picture Score,1994-08-02,Alan Silvestri,False,I'm Forrest... Forrest Gump,Bandas sonoras,,,,,,,
99,markettes99,Star Wars: El Ataque de los Clones (Banda Sonora Original),2002-04-23,John Williams,False,"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",Bandas sonoras,,,,,,,
100,markettes99,Inception (Music From The Motion Picture),2010-07-09,Hans Zimmer,False,Time,Bandas sonoras,,,,,,,
101,markettes99,Transformers: The Score,2007-10-01,Steve Jablonsky,False,Arrival to Earth,Bandas sonoras,,,,,,,
102,markettes99,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),2001-11-19,Howard Shore,False,Concerning Hobbits,Bandas sonoras,,,,,,,
103,markettes99,Wintermusik,2009-12-04,Nils Frahm,False,Ambre,Bandas sonoras,,,,,,,
104,markettes99,Epic Themes,2015-07-10,London Music Works,False,"The Avengers (From ""Avengers Assemble"")",Bandas sonoras,,,,,,,
