UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongId,SongName,PlaylistName
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,4V9ynsDPwHtdItksqjuRu0,Brand New Draco,Music 2020
garciavicval,Life Is Good (feat. Drake),2020-01-10,Future,True,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Music 2020
garciavicval,Issa Album,2017-09-23,21 Savage,True,5aZrmUOr1kL5U6cg0WZNyw,7 Min Freestyle,Music 2020
garciavicval,Culture II,2018-01-26,Migos,True,6RKkHI2fkmgZq7uQPPav8f,Gang Gang,Music 2020
garciavicval,Issa Album,2017-09-23,21 Savage,True,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,Music 2020
garciavicval,Lil Uzi Vert vs. The World,2016-05-27,Lil Uzi Vert,True,0B8QzDH7YWih85V5SEMnyJ,Money Longer,Music 2020
garciavicval,Eternal Atake,2020-03-06,Lil Uzi Vert,True,6CUP2khYzdphXebxVTfPE3,Lo Mein,Music 2020
garciavicval,Operation Stackola,1995-01-01,Luniz,False,4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,3CDVMejYHnB1SkEEx0T1N4,Many Men,Music 2020
garciavicval,i am > i was,2018-12-21,21 Savage,True,2t8yVaLvJ0RenpXUIAC52d,a lot,Music 2020
garciavicval,Savage Mode,2016-07-15,21 Savage,True,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),Music 2020
garciavicval,Savage Mode,2016-07-15,21 Savage,True,5V57eUQoTrMCZqonhzi8B9,Real Nigga,Music 2020
garciavicval,Immortal,2019-10-31,21 Savage,True,4IO8X9W69dIQe0EC5ALXhq,Immortal,Music 2020
garciavicval,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),2021-06-17,Skepta,True,6jYgY4CmWNvht59WyZ4oSQ,"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)",Music 2020
garciavicval,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),2021-06-17,Offset,True,2coGeZVlXdOCYftFHWviKf,Hit Em Hard,Music 2020
garciavicval,Savage Mode,2016-07-15,21 Savage,True,2kE82JhBcoS7mimFO1SqqX,No Advance,Music 2020
garciavicval,Savage Mode,2016-07-15,21 Savage,True,52hRcWmjRNFuVJv3Qi7EeF,Savage Mode,Music 2020
garciavicval,Black Panther The Album Music From And Inspired By,2018-02-09,ScHoolboy Q,True,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),Music 2020
garciavicval,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),2021-06-17,Murci,False,32K8zqyElEEPxoxUuxRLMa,Exotic Race (feat. Sean Paul & Dixson Waz),Music 2020
garciavicval,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),2021-06-17,Good Gas,True,5FC3acM0DXpCcqjYmDvgzW,Bushido,Music 2020
garciavicval,Donda,2021-08-29,Kanye West,False,2ZUJsR8HEktit58X6FuPQM,Heaven and Hell,Music 2020
garciavicval,Life of a DON,2021-10-08,Don Toliver,True,4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),Music 2020
garciavicval,Starboy,2016-11-25,The Weeknd,True,7MXVkk9YMctZqd1Srtv4MB,Starboy,Music 2020
garciavicval,Black Panther The Album Music From And Inspired By,2018-02-09,The Weeknd,True,77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),Music 2020
garciavicval,Culture III,2021-06-11,Migos,True,4KD0lLJ4OGonZhBeKtct9I,Avalanche,Music 2020
garciavicval,Culture III,2021-06-11,Migos,True,2kPlWEOm2tQlaZRE01IbBQ,Picasso (feat. Future),Music 2020
garciavicval,Culture,2017-04-07,Migos,True,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Music 2020
garciavicval,Moonlight922,2020-01-10,Cruz Cafuné,True,09Ae1id448lmrfETbExaRc,Mina el Hammani,Music 2020
garciavicval,Pa'l Coche,2017-02-09,Cruz Cafuné,True,3sdbjDa8Rvmfn8k7pz7znc,Mi Casa,Music 2020
garciavicval,Lila & Snitch,2021-12-03,Cruz Cafuné,True,6T3V7tEV5OFGUt5iF4y7W7,Lila & Snitch,Music 2020
